Caf,h,Qf,Ca,T,Tf,Tc,Qc,Tcf,Q
1,6.766124676,110,0.01618906668,418.2984351,320,352.78151,15,300,106.1930737
1,6.948545686,110,0.01809917831,415.5002267,320,351.7156373,15,300,107.6150848
1,7.063108078,110,0.01992434896,413.2607752,320,350.6329482,15,300,108.4985962
1,7.13533856,110,0.02135398897,411.7130019,320,349.8392555,15,300,109.0519625
1,7.180989967,110,0.02231774109,410.7093852,320,349.3079885,15,300,109.4002598
1,7.209886493,110,0.02297229008,410.0642467,320,348.9644394,15,300,109.6201538
1,7.22819487,110,0.02340329355,409.6532021,320,348.7451385,15,300,109.7592472
1,7.239801716,110,0.02368968042,409.3905754,320,348.6058972,15,300,109.8473361
1,7.247162819,110,0.02386450644,409.2260042,320,348.5174854,15,300,109.9031658
1,7.251832375,110,0.0239779689,409.1212474,320,348.4614454,15,300,109.938567
1,7.254794983,110,0.02407343539,409.0496045,320,348.4261617,15,300,109.9610214
1,7.256674795,110,0.02409298787,409.0134005,320,348.4033352,15,300,109.9752667
1,7.257867632,110,0.02412540966,408.9859485,320,348.3890729,15,300,109.9843051
1,7.258624578,110,0.02414212229,408.969403,320,348.3799819,15,300,109.9900402
1,7.25910493,110,0.02415700361,408.9579453,320,348.3742606,15,300,109.9936796
1,7.259409761,110,0.02417883512,408.9478913,320,348.3707661,15,300,109.995989
1,7.25960321,110,0.02416689429,408.9473071,320,348.368266,15,300,109.9974546
1,7.259725975,110,0.0241775765,408.9428341,320,348.3668796,15,300,109.9983846
1,7.259803883,110,0.02418131586,408.9406788,320,348.3659662,15,300,109.9989749
1,7.259853325,110,0.02420948738,408.9335136,320,348.3656701,15,300,109.9993494
1,7.259884701,110,0.02418022261,408.9395617,320,348.3649633,15,300,109.9995871
1,7.259904613,110,0.0242076179,408.9330702,320,348.3650197,15,300,109.999738
1,7.25991725,110,0.02417300402,408.9406315,320,348.364487,15,300,109.9998337
1,7.259925269,110,0.02417568672,408.9398944,320,348.3644177,15,300,109.9998945
1,7.259930359,110,0.02417449876,408.9400762,320,348.3643421,15,300,109.999933
1,7.259933588,110,0.02417836402,408.9391514,320,348.364346,15,300,109.9999575
1,7.259935638,110,0.02418079155,408.9385717,320,348.3643472,15,300,109.999973
1,7.259936939,110,0.02417428838,408.9400117,320,348.3642594,15,300,109.9999829
1,7.259937764,110,0.02417913088,408.9389094,320,348.3643027,15,300,109.9999891
1,7.259938288,110,0.02419794542,408.9346733,320,348.3645024,15,300,109.9999931
1,7.259938621,110,0.02417397811,408.9400525,320,348.3642356,15,300,109.9999956
1,7.259938832,110,0.02417772358,408.9392076,320,348.3642741,15,300,109.9999972
1,7.259938965,110,0.02419137098,408.9361387,320,348.3644222,15,300,109.9999982
1,7.25993905,110,0.02417512917,408.9397869,320,348.3642428,15,300,109.9999989
1,7.259939104,110,0.02418228856,408.938177,320,348.3643211,15,300,109.9999993
1,7.259939139,110,0.02418635958,408.9372621,320,348.3643649,15,300,109.9999995
1,7.25993916,110,0.02417572095,408.9396533,320,348.3642475,15,300,109.9999997
1,7.259939174,110,0.02418495795,408.9375762,320,348.3643495,15,300,109.9999998
1,7.259939183,110,0.02418034752,408.938612,320,348.3642987,15,300,109.9999999
1,7.259939188,110,0.0242021929,408.933705,320,348.364537,15,300,109.9999999
1,7.259939192,110,0.02417407396,408.9400204,320,348.3642302,15,300,110
1,7.259939194,110,0.02417813161,408.9391099,320,348.364274,15,300,110
1,7.259939196,110,0.02419312123,408.9357415,320,348.3644386,15,300,110
1,7.259939196,110,0.02417464668,408.9398928,320,348.3642358,15,300,110
1,7.259939197,110,0.02418032648,408.9386164,320,348.3642983,15,300,110
1,7.259939197,110,0.02420324411,408.933468,320,348.3645489,15,300,110
1,7.259939198,110,0.02417365419,408.9401152,320,348.3642251,15,300,110
1,7.259939198,110,0.02417642201,408.939494,320,348.3642552,15,300,110
1,7.259939198,110,0.02417475772,408.9398687,320,348.3642367,15,300,110
1,7.259939198,110,0.02417912248,408.9388864,320,348.3642856,15,300,110
1,7.259939198,110,0.02419148734,408.9361086,320,348.3644209,15,300,110
1,7.259939198,110,0.02417478451,408.9398621,320,348.3642372,15,300,110
1,7.259939198,110,0.0241807431,408.9385226,320,348.364303,15,300,110
1,7.259939198,110,0.02420499052,408.9330759,320,348.3645678,15,300,110
1,7.259939198,110,0.02417361792,408.9401232,320,348.3642248,15,300,110
1,7.259939198,110,0.0241762905,408.9395236,320,348.3642538,15,300,110
1,7.259939198,110,0.02417474056,408.9398725,320,348.3642365,15,300,110
1,7.259939198,110,0.02417886051,408.9389452,320,348.3642827,15,300,110
1,7.259939198,110,0.02417946771,408.9388094,320,348.3642889,15,300,110
1,7.259939198,110,0.02417535177,408.9397345,320,348.3642435,15,300,110
1,7.259939198,110,0.02418197679,408.9382446,320,348.364317,15,300,110
1,7.259939198,110,0.02420886599,408.9322063,320,348.3646094,15,300,110
1,7.259939198,110,0.02417409206,408.9400182,320,348.3642291,15,300,110
1,7.259939198,110,0.02417827602,408.9390775,320,348.3642756,15,300,110
1,7.259939198,110,0.02419368988,408.9356136,320,348.3644449,15,300,110
1,7.259939198,110,0.02417448832,408.9399284,320,348.364234,15,300,110
1,7.259939198,110,0.02417967854,408.938762,320,348.3642912,15,300,110
1,7.259939198,110,0.02420031382,408.934126,320,348.364517,15,300,110
1,7.259939198,110,0.0241738249,408.940077,320,348.364227,15,300,110
1,7.259939198,110,0.02417708119,408.9393458,320,348.3642625,15,300,110
1,7.259939198,110,0.02417484868,408.9398481,320,348.3642377,15,300,110
1,7.259939198,110,0.02417831089,408.9390701,320,348.3642759,15,300,110
1,7.259939198,110,0.02419404035,408.9355355,320,348.3644483,15,300,110
1,7.259939198,110,0.02417473178,408.9398734,320,348.3642369,15,300,110
1,7.259939198,110,0.02418073012,408.9385257,320,348.3643027,15,300,110
1,7.259939198,110,0.0242050749,408.9330567,320,348.3645689,15,300,110
1,7.259939198,110,0.02417356094,408.9401361,320,348.3642241,15,300,110
1,7.259939198,110,0.02417606513,408.9395742,320,348.3642513,15,300,110
1,7.259939198,110,0.02417473152,408.9398746,320,348.3642364,15,300,110
